time flux "flux error"
131.6143692749465 1.0000235e+00 7.1020018e-05
131.63480375306972 1.0003679e+00 7.0998518e-05
131.6552383311864 1.0004742e+00 7.1027505e-05
131.67567300919472 9.9934363e-01 7.1008406e-05
131.6961075870786 1.0001712e+00 7.1064358e-05
131.71654206496896 1.0006529e+00 7.0952527e-05
131.7369766428601 1.0004619e+00 7.1023023e-05
131.7574113206283 9.9948883e-01 7.1002469e-05
131.77784579828585 1.0005275e+00 7.1061651e-05
131.79828037606057 1.0002100e+00 7.1012611e-05
131.81871505359595 1.0006553e+00 7.1046015e-05
131.8391495312535 9.9972296e-01 7.0984745e-05
131.85958410867897 9.9986911e-01 7.0994494e-05
131.8800186862136 1.0001529e+00 7.1022332e-05
131.90045326363906 1.0006313e+00 7.1069160e-05
131.92088784094813 9.9988610e-01 7.1021168e-05
131.9413224182499 9.9995601e-01 7.1039351e-05
131.96175699544256 1.0000049e+00 7.1054681e-05
131.9821915726352 1.0002087e+00 7.1087918e-05
132.00262614982057 9.9977833e-01 7.1041562e-05
132.02306062689604 1.0003402e+00 7.1028182e-05
132.04349530385662 9.9976623e-01 7.1049697e-05
132.06392988080916 1.0002264e+00 7.1022383e-05
132.0843643577682 1.0004338e+00 7.1098133e-05
132.1047989346116 1.0004590e+00 7.1072544e-05
132.1252336114485 1.0001150e+00 7.1048860e-05
132.14566808817472 9.9960995e-01 7.1011724e-05
132.1661026649017 9.9990052e-01 7.1097915e-05
132.18653734150575 1.0006037e+00 7.1081457e-05
132.20697191811632 1.0007052e+00 7.1056485e-05
132.22740639460972 9.9962342e-01 7.1035880e-05
132.24784097098745 9.9968219e-01 7.0998241e-05
132.2682756474751 1.0005118e+00 7.1080198e-05
132.28871012385207 1.0003469e+00 7.1080940e-05
132.30914470010612 9.9977833e-01 7.1056849e-05
132.3295793763682 9.9962455e-01 7.1082875e-05
132.35001385251235 9.9970514e-01 7.1084949e-05
132.37044842865726 1.0005463e+00 7.1118229e-05
132.39088300467847 1.0001290e+00 7.1078452e-05
132.41131758070696 9.9925691e-01 7.1015209e-05
132.43175215661176 9.9972266e-01 7.1079143e-05
132.45218673252384 9.9991143e-01 7.1035291e-05
132.47262140832026 1.0001706e+00 7.1120608e-05
132.49305588411517 1.0000333e+00 7.1093760e-05
132.51349045990355 9.9992859e-01 7.1041097e-05
132.53392493546562 1.0003853e+00 7.1127281e-05
132.55435961113835 1.0002902e+00 7.1097798e-05
132.57479418670118 1.0006626e+00 7.1141090e-05
132.59522866214684 1.0003966e+00 7.1080496e-05
132.61566333759401 9.9993330e-01 7.1111623e-05
132.63609791291674 1.0000523e+00 7.1085684e-05
132.65653248824674 1.0005056e+00 7.1132876e-05
132.67696696345956 1.0006526e+00 7.1096096e-05
132.69740163866663 1.0000710e+00 7.1133822e-05
132.71783621388022 9.9896234e-01 7.1101436e-05
132.7382706888602 1.0001519e+00 7.1139861e-05
132.75870536395087 1.0012119e+00 7.1122784e-05
132.77913993893162 1.0001572e+00 7.1133800e-05
132.7995744137952 9.9942797e-01 7.1068469e-05
132.82000898865226 9.9973357e-01 7.1127863e-05
132.84044366340095 1.0002643e+00 7.1123352e-05
